File,Model,MSE
Turmeric_Maharashtra.csv,GARCH,18950478.992205087
Turmeric_Maharashtra.csv,GJR-GARCH,20131505.765992507
Turmeric_Maharashtra.csv,EWMA,144335738.33629245
Turmeric_Maharashtra.csv,MEM,140511383.47262958
Turmeric_Maharashtra.csv,P-WEV,3721898.1843575425
Mustard_Rajasthan.csv,GARCH,1266397.1639344865
Mustard_Rajasthan.csv,GJR-GARCH,1424067.2570158262
Mustard_Rajasthan.csv,EWMA,15167106.384262456
Mustard_Rajasthan.csv,MEM,14977891.191575639
Mustard_Rajasthan.csv,P-WEV,97692.46575342465
Paddy_Chattisgarh.csv,GARCH,59017.000074253796
Paddy_Chattisgarh.csv,GJR-GARCH,59106.96334701973
Paddy_Chattisgarh.csv,EWMA,1681114.0126842433
Paddy_Chattisgarh.csv,MEM,1660678.945331822
Paddy_Chattisgarh.csv,P-WEV,10538.757467480327
Greengram_UP.csv,GARCH,4196177.548995566
Greengram_UP.csv,GJR-GARCH,4572147.243151432
Greengram_UP.csv,EWMA,50623820.80803556
Greengram_UP.csv,MEM,50209668.56067978
Greengram_UP.csv,P-WEV,38958.684375
Cotton_Gujarat.csv,GARCH,1772249.8097778119
Cotton_Gujarat.csv,GJR-GARCH,1765219.467797884
Cotton_Gujarat.csv,EWMA,23500474.235793352
Cotton_Gujarat.csv,MEM,23225819.73443125
Cotton_Gujarat.csv,P-WEV,356742.1811740891
DryChillies_AP.csv,GARCH,615055.5107121693
DryChillies_AP.csv,GJR-GARCH,622556.9388011852
DryChillies_AP.csv,EWMA,19050746.908873696
DryChillies_AP.csv,MEM,17065636.565796204
DryChillies_AP.csv,P-WEV,5771918.510979075
KabuliChana_MP.csv,GARCH,5096320.708082738
KabuliChana_MP.csv,GJR-GARCH,5163143.379315579
KabuliChana_MP.csv,EWMA,37041037.282947265
KabuliChana_MP.csv,MEM,36324006.849516355
KabuliChana_MP.csv,P-WEV,546042.1716230742
Sesamum_Gujarat.csv,GARCH,6851431.340887829
Sesamum_Gujarat.csv,GJR-GARCH,6855244.274789618
Sesamum_Gujarat.csv,EWMA,85526453.39182317
Sesamum_Gujarat.csv,MEM,84292151.48358396
Sesamum_Gujarat.csv,P-WEV,190554.23850574714
Cumin_Gujarat.csv,GARCH,25250488.40503019
Cumin_Gujarat.csv,GJR-GARCH,27669380.497152433
Cumin_Gujarat.csv,EWMA,218757632.96173143
Cumin_Gujarat.csv,MEM,215774109.4386782
Cumin_Gujarat.csv,P-WEV,1424195.6002072233
Soybean_MP.csv,GARCH,1154153.7829079942
Soybean_MP.csv,GJR-GARCH,1166369.3839497298
Soybean_MP.csv,EWMA,17270734.746341284
Soybean_MP.csv,MEM,17133281.58820314
Soybean_MP.csv,P-WEV,80975.7460555973
Potato_UP.csv,GARCH,235444.93007613602
Potato_UP.csv,GJR-GARCH,230457.03256793882
Potato_UP.csv,EWMA,950655.5719321776
Potato_UP.csv,MEM,923976.7004032137
Potato_UP.csv,P-WEV,3316.469298245614
Groundnut_Guj.csv,GARCH,1709158.859224301
Groundnut_Guj.csv,GJR-GARCH,1685461.791173474
Groundnut_Guj.csv,EWMA,20566660.86410057
Groundnut_Guj.csv,MEM,20443921.0932167
Groundnut_Guj.csv,P-WEV,73870.84232592053
Jowar_Maharashtra.csv,GARCH,373834.6673732979
Jowar_Maharashtra.csv,GJR-GARCH,383183.4935217626
Jowar_Maharashtra.csv,EWMA,4426311.5489272615
Jowar_Maharashtra.csv,MEM,4319924.1092796065
Jowar_Maharashtra.csv,P-WEV,61496.85050251256
Lentil_MP.csv,GARCH,1077151.3308181006
Lentil_MP.csv,GJR-GARCH,1106505.8263263616
Lentil_MP.csv,EWMA,13353899.425581805
Lentil_MP.csv,MEM,13182838.74405629
Lentil_MP.csv,P-WEV,103730.58587479936
Maize_Chattisgarh.csv,GARCH,105251.27167349678
Maize_Chattisgarh.csv,GJR-GARCH,125461.92724050222
Maize_Chattisgarh.csv,EWMA,3104917.5080647813
Maize_Chattisgarh.csv,MEM,3075338.307605609
Maize_Chattisgarh.csv,P-WEV,1100.2100591715975
Arhar_Maharashtra.csv,GARCH,3552746.331439883
Arhar_Maharashtra.csv,GJR-GARCH,3556695.7944788015
Arhar_Maharashtra.csv,EWMA,24525070.41929857
Arhar_Maharashtra.csv,MEM,24105253.30125521
Arhar_Maharashtra.csv,P-WEV,109301.33117816092
Onion_Maharashtra.csv,GARCH,1385641.5370355542
Onion_Maharashtra.csv,GJR-GARCH,1551891.8502347905
Onion_Maharashtra.csv,EWMA,3293139.2597091645
Onion_Maharashtra.csv,MEM,2771277.993779422
Onion_Maharashtra.csv,P-WEV,161113.5985915493
Tomato_UP.csv,GARCH,1078013.2510412093
Tomato_UP.csv,GJR-GARCH,1169612.7699913287
Tomato_UP.csv,EWMA,2850485.5776557336
Tomato_UP.csv,MEM,2556741.909266813
Tomato_UP.csv,P-WEV,46864.1852770885
Bengalgram_MP.csv,GARCH,1048369.8159081478
Bengalgram_MP.csv,GJR-GARCH,1056769.457661519
Bengalgram_MP.csv,EWMA,17391287.887857135
Bengalgram_MP.csv,MEM,17171329.477807242
Bengalgram_MP.csv,P-WEV,28363.369888475838
Wheat_UP.csv,GARCH,180770.23522018283
Wheat_UP.csv,GJR-GARCH,178942.041218364
Wheat_UP.csv,EWMA,3140567.055968471
Wheat_UP.csv,MEM,3117000.95980466
Wheat_UP.csv,P-WEV,2586.1277777777777
Ragi_Karnataka.csv,GARCH,258170.39313537625
Ragi_Karnataka.csv,GJR-GARCH,257947.51392460035
Ragi_Karnataka.csv,EWMA,2546162.859291021
Ragi_Karnataka.csv,MEM,2503705.1896415153
Ragi_Karnataka.csv,P-WEV,16922.922729140977
Coriander_Gujarat.csv,GARCH,3179634.6177388597
Coriander_Gujarat.csv,GJR-GARCH,3199544.1726354435
Coriander_Gujarat.csv,EWMA,33466012.264434885
Coriander_Gujarat.csv,MEM,33078493.00612365
Coriander_Gujarat.csv,P-WEV,168351.1974872399
Bajra_Guj.csv,GARCH,165341.327709098
Bajra_Guj.csv,GJR-GARCH,167054.93463959833
Bajra_Guj.csv,EWMA,2319188.0980840405
Bajra_Guj.csv,MEM,2276687.1780810314
Bajra_Guj.csv,P-WEV,26686.93083072645
